number	OP	function	src1		src2		result		zcv
1		d	NAND		11111111	11111111	eeeeeeee	000
2		0	AND			ffff0000	0000ffff	00000000	100
3		1	OR			9284fc02	8b71d6a6	9bf5fea6	000
4		2	ADD		    ffffffff	00000001	00000000	110
5       2   ADD         7fffffff    7fffffff    fffffffe    001        
6		6	SUB 		c4fab894 	54b51e1e	70459a76	011
7       6   SUB         76543210    01234567    7530eca9    010
8		7	SLT 		00000000	0fffffff	00000001	000
9		C	NOR			00000000	00000000	ffffffff	000
10		2	ADD			00000000	00000000	00000000	100
11		2	ADD			00000000	ffffffff	ffffffff	000
12		2	ADD			00000001	ffffffff	00000000	110
13		6	SUB			00000000	00000000	00000000	110
14		6	SUB			00000000	ffffffff	00000001	000
15		6	SUB			00000001	00000001	00000000	110
16		6	SUB			00000100	00000001	000000ff	010
17		7	SLT			00000000	00000000	00000000	100
18		7 	SLT			00000000	00000001	00000001	000
19		7	SLT			00000000	ffffffff	00000000	100
20		7	SLT			00000001	00000000	00000000	100
21		7	SLT			ffffffff	00000000	00000001	000
22		0	AND			ffffffff	ffffffff	ffffffff	000
23		0	AND			ffffffff	12345678	12345678	000
24		0	AND			12345678	87654321	02244220	000
25		0	AND			00000000	ffffffff	00000000	100
26		1	OR			ffffffff	ffffffff	ffffffff	000
27		1	OR			12345678	87654321	97755779	000
28		1	OR			00000000	ffffffff	ffffffff	000
29		1	OR			00000000	00000000	00000000	100
30		d	NAND		00000000	ffffffff	ffffffff	000	

